tytul_pl,rok,sekcja,reżyseria,scenariusz,zdjęcia,montaż,muzyka,dźwięk,producent,kostiumy,scenografia,charakteryzacja,pierwsza_w_obsadzie,plec_pierwszej
Ścieżki życia,2024,Pokazy na Rynku,K,K,K,KM,?,,?,M,K,,Gillian Anderson,K
Tajemniczy ogród,1993,Pokazy na Rynku,K,K,M,K,M,,M,?,?,,Kate Maberly,K
Donnie Darko,2001,OPT Zamek w Leśnicy,M,M,M,?,?,,KM,?,,,Jake Gyllenhaal,M
Duke of Burgundy. Reguły pożądania,2014,OPT Zamek w Leśnicy,M,M,M,?,KM,,?,?,M,,Sidse Babett Knudsen,K
Monty Python i Święty Graal,1975,OPT Zamek w Leśnicy,M,M,M,?,?,,M,?,?,?,Graham Chapman,M
"Nad rzeką, której nie ma",1991,OPT Zamek w Leśnicy,M,M,M,M,M,,,?,?,?,Marek Bukowski,M
Piknik pod Wiszącą Skałą,1975,OPT Zamek w Leśnicy,M,M,M,?,M,,M,?,,,Rachel Roberts,K
Pożegnania,1958,OPT Zamek w Leśnicy,M,M,M,K,M,?,M,?,?,?,Maria Wachowiak,
Chłopiec na krańcach świata,2025,Młode Horyzonty,?,?,,?,M,,?,,,,,
Góra mocy,2024,Młode Horyzonty,K,KM,?,?,M,,?,,,,Elizabeth Atkinson,
Miss Moxy. Kocia ekipa,2025,Młode Horyzonty,?,?,,,M,,?,,,,,
Niesamowite przygody skarpetek 3. Ale kosmos!,2026,Młode Horyzonty,KM,K,,?,?,,,,,,,
Pucio,2026,Młode Horyzonty,K,?,,?,M,,,,,,,
Vincent. Legenda oceanu,2025,Młode Horyzonty,M,?,,,M,,KM,,,,,
Kino organowe NFM – Furman śmierci,1921,Wydarzenia specjalne,M,KM,M,,,,M,,?,,Victor Sjöström,M
Netflix: 1670 (sezon 3) i otwarcie Panoramy 1670,2026,Wydarzenia specjalne,M,M,M,?,?,,?,?,?,?,Bartłomiej Topa,M
Netflix: Lalka,2026,Wydarzenia specjalne,M,?,M,KM,?,,?,?,?,?,Tomasz Schuchardt,
